date,channel,views,watch_minutes,subscribers_gained,subscribers_lost
2026-03-20,etnet,46182,294028,215,41
2026-03-21,etnet,42998,232521,432,42
2026-03-22,etnet,51533,412454,538,56
2026-03-23,etnet,35588,283874,230,45
2026-03-24,etnet,31987,294385,148,38
2026-03-25,etnet,71856,620662,191,38
2026-03-26,etnet,41674,413393,119,30
2026-03-27,etnet,20018,110891,53,27
2026-03-28,etnet,14069,61756,56,22
2026-03-29,etnet,23360,165242,65,33
2026-03-30,etnet,22332,196264,58,30
2026-03-31,etnet,24694,245311,72,31
2026-04-01,etnet,34461,383228,76,30
2026-04-02,etnet,14636,103353,41,21
2026-04-03,etnet,7975,47405,38,26
2026-04-04,etnet,10542,43038,45,26
2026-04-05,etnet,10640,44415,32,24
2026-04-06,etnet,8541,41841,38,23
2026-04-07,etnet,21397,208420,52,33
2026-04-08,etnet,32070,420936,83,26
2026-04-09,etnet,25716,313189,56,23
2026-04-10,etnet,10227,64982,28,26
2026-04-11,etnet,7245,43624,29,20
2026-04-12,etnet,17286,186038,57,29
2026-04-13,etnet,18084,202791,32,20
2026-04-14,etnet,19701,212857,42,28
2026-04-15,etnet,28447,382910,51,31
2026-04-16,etnet,20649,264366,55,29
2026-03-20,25度生活,1179,4970,6,3
2026-03-21,25度生活,1256,4638,5,9
2026-03-22,25度生活,1120,3929,7,3
2026-03-23,25度生活,1182,4244,3,3
2026-03-24,25度生活,5823,45956,9,3
2026-03-25,25度生活,3679,25659,9,1
2026-03-26,25度生活,2103,13807,14,4
2026-03-27,25度生活,1944,9287,4,2
2026-03-28,25度生活,1327,6718,8,4
2026-03-29,25度生活,1327,7489,9,3
2026-03-30,25度生活,1223,7463,4,4
2026-03-31,25度生活,1090,6102,3,0
2026-04-01,25度生活,1772,5031,2,3
2026-04-02,25度生活,2138,4840,6,5
2026-04-03,25度生活,1628,5193,3,1
2026-04-04,25度生活,1386,4743,4,4
2026-04-05,25度生活,2378,4934,3,4
2026-04-06,25度生活,1063,4514,4,7
2026-04-07,25度生活,5038,34917,9,1
2026-04-08,25度生活,3781,22715,7,1
2026-04-09,25度生活,1536,8662,7,5
2026-04-10,25度生活,1272,5598,5,1
2026-04-11,25度生活,1057,5160,3,1
2026-04-12,25度生活,925,4406,4,9
2026-04-13,25度生活,804,4016,5,4
2026-04-14,25度生活,642,3377,1,2
2026-04-15,25度生活,742,3079,3,3
2026-04-16,25度生活,563,2527,3,2
2026-03-20,健康好人生,7940,34845,16,11
2026-03-21,健康好人生,7876,32659,18,14
2026-03-22,健康好人生,7918,33565,25,9
2026-03-23,健康好人生,11184,54783,34,17
2026-03-24,健康好人生,16074,81469,56,15
2026-03-25,健康好人生,12273,63694,66,17
2026-03-26,健康好人生,16489,91635,73,22
2026-03-27,健康好人生,19469,101168,57,14
2026-03-28,健康好人生,18188,89832,87,11
2026-03-29,健康好人生,18106,89737,89,17
2026-03-30,健康好人生,19641,100368,96,12
2026-03-31,健康好人生,15589,74058,61,5
2026-04-01,健康好人生,15679,69925,68,16
2026-04-02,健康好人生,19262,83028,60,19
2026-04-03,健康好人生,15419,65085,57,17
2026-04-04,健康好人生,12467,53084,43,9
2026-04-05,健康好人生,12335,51720,41,13
2026-04-06,健康好人生,10198,43796,30,9
2026-04-07,健康好人生,12495,44814,33,16
2026-04-08,健康好人生,24116,48601,33,7
2026-04-09,健康好人生,19290,50134,39,7
2026-04-10,健康好人生,14055,49772,31,8
2026-04-11,健康好人生,16494,58207,33,11
2026-04-12,健康好人生,14983,54405,23,12
2026-04-13,健康好人生,14734,54008,32,15
2026-04-14,健康好人生,13584,51126,27,14
2026-04-15,健康好人生,14216,51391,28,8
2026-04-16,健康好人生,17283,67941,25,16
